[freebase -> gkg: progress] 24950 done, 0 error
[freebase -> gkg: progress] 25000 done, 0 error
[freebase -> gkg: progress] 25050 done, 0 error
[freebase -> gkg: progress] 25100 done, 0 error
[freebase -> gkg: progress] 25150 done, 0 error
[freebase -> gkg: progress] 25200 done, 0 error
[freebase -> gkg: progress] 25250 done, 0 error
[freebase -> gkg: progress] 25300 done, 0 error
[freebase -> gkg: progress] 25350 done, 0 error
[freebase -> gkg: progress] 25400 done, 0 error
[freebase -> gkg: progress] 25450 done, 0 error
[freebase -> gkg: progress] 25500 done, 0 error
[freebase -> gkg: progress] 25550 done, 0 error
[freebase -> gkg: progress] 25600 done, 0 error
[freebase -> gkg: progress] 25650 done, 0 error
[freebase -> gkg: progress] 25700 done, 0 error
[freebase -> gkg: progress] 25750 done, 0 error
[freebase -> gkg: progress] 25800 done, 0 error
[freebase -> gkg: progress] 25850 done, 0 error
[freebase -> gkg: progress] 25900 done, 0 error
[freebase -> gkg: progress] 25950 done, 0 error
[freebase -> gkg: progress] 26000 done, 0 error
[freebase -> gkg: progress] 26050 done, 0 error
[freebase -> gkg: progress] 26100 done, 0 error
[freebase -> gkg: progress] 26150 done, 0 error
[freebase -> gkg: progress] 26200 done, 0 error
[freebase -> gkg: progress] 26250 done, 0 error
[freebase -> gkg: progress] 26300 done, 0 error
[freebase -> gkg: progress] 26350 done, 0 error
[freebase -> gkg: progress] 26400 done, 0 error
[freebase -> gkg: progress] 26450 done, 0 error
[freebase -> gkg: progress] 26500 done, 0 error
[freebase -> gkg: progress] 26550 done, 0 error
[freebase -> gkg: progress] 26600 done, 0 error
[freebase -> gkg: progress] 26650 done, 0 error
[freebase -> gkg: progress] 26700 done, 0 error
[freebase -> gkg: progress] 26750 done, 0 error
[freebase -> gkg: progress] 26800 done, 0 error
[freebase -> gkg: progress] 26850 done, 0 error
[freebase -> gkg: progress] 26900 done, 0 error
[freebase -> gkg: progress] 26950 done, 0 error
[freebase -> gkg: progress] 27000 done, 0 error
[freebase -> gkg: progress] 27050 done, 0 error
[freebase -> gkg: progress] 27100 done, 0 error
